,,,,,,,  Sticker Tracker,,,,,,,,"Created By: dodgy
Play MGo! With Me
☕ Buy Me a Coffee",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6/20/2024 13:00:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Album Progress,,,,,⭐ Filters,All ⭐,0,,,All ⭐,0,,,All ⭐,0,,,,,,,,,
,,,,,,Stickers Needed,,,,Golds Needed,,,,Extras Available,,,,,,,,,,,
,FALSE, Prestige Mode (include prestige stickers),,,,Stars,Sticker,Set,,Stars,Sticker,Set,,Stars,Sticker,Set,,,Sticker,Set,Gold,Own,Xtra,Star,
,,,,,,1⭐,Melody Lane,Set 1,,4⭐,All In!,Set 12,,,None,,,1,Melody Lane,1,,0,0,1,
,Time Remaining,,,,,1⭐,Big Piano!,Set 1,,4⭐,Merch It!,Set 13,,,,,,2,Big Piano!,1,,0,0,1,
,41 Days 10 Hours 36 Mins,,,,,1⭐,Tune Tour,Set 1,,4⭐,Rare Find,Set 14,,,,,,3,Tune Tour,1,,0,0,1,
,,,,,,1⭐,Tubad!,Set 1,,4⭐,Shake It!,Set 15,,,,,,4,Tubad!,1,,0,0,1,
,Total Stickers,,,,,1⭐,Can’t Beat It,Set 1,,4⭐,We Did It!,Set 16,,,,,,5,Can’t Beat It,1,,0,0,1,
,0 / 189,,0 / 45 (Prestige) ,,,1⭐,Mewsic,Set 1,,4⭐,Kalimba,Set 17,,,,,,6,Mewsic,1,,0,0,1,
,,,,0.00%,,1⭐,Off-Kilter,Set 1,,5⭐,New Hobby,Set 17,,,,,,7,Off-Kilter,1,,0,0,1,
,,,,,,1⭐,Gong Pals,Set 1,,4⭐,Funky Music,Set 18,,,,,,8,Gong Pals,1,,0,0,1,
,Gold Stickers,,,,,1⭐,A Natural,Set 1,,5⭐,Boogie Down,Set 18,,,,,,9,A Natural,1,,0,0,1,
